Time [s],Servo [rad],Table angle [rad]
4.54,0.6806583333333334,0.1669355101953025
4.548,0.6806583333333334,0.1619165183548681
4.556,0.6806583333333334,0.16292031672295515
4.564,0.6806583333333334,0.1699469052995628
4.572,0.6806583333333334,0.16492791345912883
4.58,0.6806583333333334,0.16492791345912883
4.588,0.6806583333333334,0.16593171182721544
4.596,0.6806583333333334,0.1699469052995628
4.604,0.6806583333333334,0.1699469052995628
4.612,0.6806583333333334,0.1739620987719097
4.62,0.6806583333333334,0.1669355101953025
4.628,0.6806583333333334,0.1669355101953025
4.636,0.6806583333333334,0.1699469052995628
4.644,0.6806583333333334,0.17195450203573648
4.652,0.6806583333333334,0.1729583004038231
4.66,0.6806583333333334,0.16793930856338912
4.668,0.6806583333333334,0.16593171182721544
4.676,0.6806583333333334,0.1729583004038231
4.684,0.6806583333333334,0.1669355101953025
4.692,0.6806583333333334,0.1699469052995628
4.7,0.6806583333333334,0.16392411509104177
4.708,0.6806583333333334,0.16894310693147574
4.716,0.6806583333333334,0.16793930856338912
4.724,0.6806583333333334,0.16793930856338912
4.732,0.6806583333333334,0.16492791345912883
4.74,0.6806583333333334,0.17797729224425707
4.748,0.6806583333333334,0.1739620987719097
4.756,0.6806583333333334,0.16392411509104177
4.764,0.6806583333333334,0.16894310693147574
4.772,0.6806583333333334,0.1669355101953025
4.78,0.6806583333333334,0.16292031672295515
4.788,0.6806583333333334,0.17095070366764942
4.796,0.6806583333333334,0.1619165183548681
4.804,0.6806583333333334,0.16793930856338912
4.812,0.6806583333333334,0.17195450203573648
4.819,0.6806583333333334,0.1669355101953025
4.828,0.6806583333333334,0.16894310693147574
4.836,0.6806583333333334,0.16392411509104177
4.844,0.6806583333333334,0.17095070366764942
4.852,0.6806583333333334,0.1729583004038231
4.86,0.6806583333333334,0.16793930856338912
4.868,0.6806583333333334,0.1699469052995628
4.876,0.6806583333333334,0.1619165183548681
4.884,0.6806583333333334,0.1739620987719097
4.892,0.6806583333333334,0.17095070366764942
4.9,0.6806583333333334,0.1699469052995628
4.908,0.6806583333333334,0.16894310693147574
4.915,0.6806583333333334,0.16894310693147574
4.924,0.6806583333333334,0.16593171182721544
